"year","wrktype_clean","n","n_year","proportion"
2006,"Contract Firm Worker",59,1624,0.0363300492610837
2010,"Contract Firm Worker",31,1083,0.0286241920590951
2014,"Contract Firm Worker",34,1169,0.0290846877673225
2018,"Contract Firm Worker",49,1343,0.0364854802680566
2022,"Contract Firm Worker",55,1673,0.0328750747160789
2006,"Independent Contractor",207,1624,0.127463054187192
2010,"Independent Contractor",134,1083,0.123730378578024
2014,"Independent Contractor",161,1169,0.137724550898204
2018,"Independent Contractor",164,1343,0.122114668652271
2022,"Independent Contractor",211,1673,0.126120741183503
2006,"On-Call",42,1624,0.0258620689655172
2010,"On-Call",38,1083,0.0350877192982456
2014,"On-Call",33,1169,0.028229255774166
2018,"On-Call",36,1343,0.0268056589724497
2022,"On-Call",31,1673,0.0185295875672445
2006,"Temporary Agency",19,1624,0.0116995073891626
2010,"Temporary Agency",13,1083,0.0120036934441367
2014,"Temporary Agency",7,1169,0.00598802395209581
2018,"Temporary Agency",20,1343,0.0148920327624721
2022,"Temporary Agency",12,1673,0.00717274357441721
