"year","wrktype","n","percentage"
2006,"Independent contractor/consultant/freelance worker",207,12.75
2006,"On-call, work only when called to work",42,2.59
2006,"Paid by a temporary agency",19,1.17
2006,"Regular, permanent employee",1297,79.86
2006,"Work for contractor who provides workers/services",59,3.63
2010,"Independent contractor/consultant/freelance worker",134,12.37
2010,"On-call, work only when called to work",38,3.51
2010,"Paid by a temporary agency",13,1.2
2010,"Regular, permanent employee",867,80.06
2010,"Work for contractor who provides workers/services",31,2.86
2014,"Independent contractor/consultant/freelance worker",161,13.77
2014,"On-call, work only when called to work",33,2.82
2014,"Paid by a temporary agency",7,0.6
2014,"Regular, permanent employee",934,79.9
2014,"Work for contractor who provides workers/services",34,2.91
2018,"Independent contractor/consultant/freelance worker",164,12.21
2018,"On-call, work only when called to work",36,2.68
2018,"Paid by a temporary agency",20,1.49
2018,"Regular, permanent employee",1074,79.97
2018,"Work for contractor who provides workers/services",49,3.65
2022,"Independent contractor/consultant/freelance worker",211,12.61
2022,"On-call, work only when called to work",31,1.85
2022,"Paid by a temporary agency",12,0.72
2022,"Regular, permanent employee",1364,81.53
2022,"Work for contractor who provides workers/services",55,3.29
